6.7665 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.9302 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12f3ad898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f346a90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.1824 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([7., 7.]), tex='sin', texRes=128, units='deg', win=Window(...))
8.1965 	EXP 	grating_S1_T5: phase = 0.0
8.2137 	EXP 	grating_S1_T5: phase = 0.0
8.2304 	EXP 	grating_S1_T5: phase = 0.0
8.2469 	EXP 	grating_S1_T5: phase = 0.0
8.2638 	EXP 	grating_S1_T5: phase = 0.0
8.2805 	EXP 	grating_S1_T5: phase = 0.0
8.2973 	EXP 	grating_S1_T5: phase = 0.0
8.3138 	EXP 	grating_S1_T5: phase = 0.0
8.3307 	EXP 	grating_S1_T5: phase = 0.0
8.3467 	EXP 	grating_S1_T5: phase = 0.0
8.3641 	EXP 	grating_S1_T5: phase = 0.0
8.3811 	EXP 	grating_S1_T5: phase = 0.0
8.3978 	EXP 	grating_S1_T5: phase = 0.0
8.4144 	EXP 	grating_S1_T5: phase = 0.0
