7.3569 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
9.8489 	EXP 	grating_S1_T5: phase = 0.5
9.8669 	EXP 	grating_S1_T5: phase = 0.5
9.8820 	EXP 	grating_S1_T5: phase = 0.5
9.8987 	EXP 	grating_S1_T5: phase = 0.5
9.9154 	EXP 	grating_S1_T5: phase = 0.5
9.9322 	EXP 	grating_S1_T5: phase = 0.5
9.9488 	EXP 	grating_S1_T5: phase = 0.5
9.9653 	EXP 	grating_S1_T5: phase = 0.5
9.9819 	EXP 	grating_S1_T5: phase = 0.5
9.9987 	EXP 	grating_S1_T5: phase = 0.5
10.0155 	EXP 	grating_S1_T5: phase = 0.5
10.0321 	EXP 	grating_S1_T5: phase = 0.5
10.0487 	EXP 	grating_S1_T5: phase = 0.5
10.0656 	EXP 	grating_S1_T5: phase = 0.5
10.0816 	EXP 	grating_S1_T5: phase = 0.5
10.0987 	EXP 	grating_S1_T5: phase = 0.5
10.1153 	EXP 	grating_S1_T5: phase = 0.5
10.1320 	EXP 	grating_S1_T5: phase = 0.5
10.1487 	EXP 	grating_S1_T5: phase = 0.5
10.1654 	EXP 	grating_S1_T5: phase = 0.5
10.1838 	EXP 	grating_S1_T5: phase = 0.5
10.1987 	EXP 	grating_S1_T5: phase = 0.5
10.2152 	EXP 	grating_S1_T5: phase = 0.5
10.2318 	EXP 	grating_S1_T5: phase = 0.5
10.2486 	EXP 	grating_S1_T5: phase = 0.5
10.2653 	EXP 	grating_S1_T5: phase = 0.5
10.2821 	EXP 	grating_S1_T5: phase = 0.5
10.2990 	EXP 	grating_S1_T5: phase = 0.5
10.3150 	EXP 	grating_S1_T5: phase = 0.5
10.3318 	EXP 	grating_S1_T5: phase = 0.0
10.3487 	EXP 	grating_S1_T5: phase = 0.0
10.3652 	EXP 	grating_S1_T5: phase = 0.0
10.3820 	EXP 	grating_S1_T5: phase = 0.0
10.3981 	EXP 	grating_S1_T5: phase = 0.0
10.4151 	EXP 	grating_S1_T5: phase = 0.0
10.4321 	EXP 	grating_S1_T5: phase = 0.0
10.4486 	EXP 	grating_S1_T5: phase = 0.0
10.4653 	EXP 	grating_S1_T5: phase = 0.0
10.4819 	EXP 	grating_S1_T5: phase = 0.0
10.5002 	EXP 	grating_S1_T5: phase = 0.0
10.5155 	EXP 	grating_S1_T5: phase = 0.0
10.5320 	EXP 	grating_S1_T5: phase = 0.0
10.5486 	EXP 	grating_S1_T5: phase = 0.0
10.5652 	EXP 	grating_S1_T5: phase = 0.0
10.5819 	EXP 	grating_S1_T5: phase = 0.0
10.5988 	EXP 	grating_S1_T5: phase = 0.0
10.6151 	EXP 	grating_S1_T5: phase = 0.0
