11.0576 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
12.0368 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12f8ad898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f624a90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.4442 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([7., 7.]), tex='sin', texRes=128, units='deg', win=Window(...))
12.4588 	EXP 	grating_S1_T5: phase = 0.0
12.4758 	EXP 	grating_S1_T5: phase = 0.0
12.4925 	EXP 	grating_S1_T5: phase = 0.0
12.5091 	EXP 	grating_S1_T5: phase = 0.0
12.5258 	EXP 	grating_S1_T5: phase = 0.0
12.5426 	EXP 	grating_S1_T5: phase = 0.0
12.5591 	EXP 	grating_S1_T5: phase = 0.0
12.5758 	EXP 	grating_S1_T5: phase = 0.0
12.5925 	EXP 	grating_S1_T5: phase = 0.0
12.6089 	EXP 	grating_S1_T5: phase = 0.0
12.6254 	EXP 	grating_S1_T5: phase = 0.0
12.6446 	EXP 	grating_S1_T5: phase = 0.0
12.6586 	EXP 	grating_S1_T5: phase = 0.0
12.6759 	EXP 	grating_S1_T5: phase = 0.0
12.6920 	EXP 	grating_S1_T5: phase = 0.0
12.7092 	EXP 	grating_S1_T5: phase = 0.0
12.7259 	EXP 	grating_S1_T5: phase = 0.0
12.7426 	EXP 	grating_S1_T5: phase = 0.0
12.7592 	EXP 	grating_S1_T5: phase = 0.0
12.7756 	EXP 	grating_S1_T5: phase = 0.0
12.7922 	EXP 	grating_S1_T5: phase = 0.0
12.8088 	EXP 	grating_S1_T5: phase = 0.0
12.8253 	EXP 	grating_S1_T5: phase = 0.0
12.8425 	EXP 	grating_S1_T5: phase = 0.0
12.8590 	EXP 	grating_S1_T5: phase = 0.0
