6.8989 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.6291 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12ea2d898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f746a90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.8752 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([7., 7.]), tex='sin', texRes=128, units='deg', win=Window(...))
7.8949 	EXP 	grating_S1_T5: phase = 0.0
7.9116 	EXP 	grating_S1_T5: phase = 0.0
7.9282 	EXP 	grating_S1_T5: phase = 0.0
7.9450 	EXP 	grating_S1_T5: phase = 0.0
7.9616 	EXP 	grating_S1_T5: phase = 0.0
7.9795 	EXP 	grating_S1_T5: phase = 0.0
7.9948 	EXP 	grating_S1_T5: phase = 0.0
8.0116 	EXP 	grating_S1_T5: phase = 0.0
8.0282 	EXP 	grating_S1_T5: phase = 0.0
8.0445 	EXP 	grating_S1_T5: phase = 0.0
8.0615 	EXP 	grating_S1_T5: phase = 0.0
8.0781 	EXP 	grating_S1_T5: phase = 0.0
8.0948 	EXP 	grating_S1_T5: phase = 0.0
8.1114 	EXP 	grating_S1_T5: phase = 0.0
8.1282 	EXP 	grating_S1_T5: phase = 0.0
8.1449 	EXP 	grating_S1_T5: phase = 0.0
8.1616 	EXP 	grating_S1_T5: phase = 0.0
8.1782 	EXP 	grating_S1_T5: phase = 0.0
8.1946 	EXP 	grating_S1_T5: phase = 0.0
8.2114 	EXP 	grating_S1_T5: phase = 0.0
8.2280 	EXP 	grating_S1_T5: phase = 0.0
8.2449 	EXP 	grating_S1_T5: phase = 0.0
8.2614 	EXP 	grating_S1_T5: phase = 0.0
8.2784 	EXP 	grating_S1_T5: phase = 0.0
8.2970 	EXP 	grating_S1_T5: phase = 0.0
8.3115 	EXP 	grating_S1_T5: phase = 0.0
8.3279 	EXP 	grating_S1_T5: phase = 0.0
8.3448 	EXP 	grating_S1_T5: phase = 0.0
8.3614 	EXP 	grating_S1_T5: phase = 0.0
8.3783 	EXP 	grating_S1_T5: phase = 0.0
8.3948 	EXP 	grating_S1_T5: phase = 180.0
8.4115 	EXP 	grating_S1_T5: phase = 180.0
8.4282 	EXP 	grating_S1_T5: phase = 180.0
8.4448 	EXP 	grating_S1_T5: phase = 180.0
8.4615 	EXP 	grating_S1_T5: phase = 180.0
8.4781 	EXP 	grating_S1_T5: phase = 180.0
8.4947 	EXP 	grating_S1_T5: phase = 180.0
8.5109 	EXP 	grating_S1_T5: phase = 180.0
8.5282 	EXP 	grating_S1_T5: phase = 180.0
8.5448 	EXP 	grating_S1_T5: phase = 180.0
8.5615 	EXP 	grating_S1_T5: phase = 180.0
8.5781 	EXP 	grating_S1_T5: phase = 180.0
8.5947 	EXP 	grating_S1_T5: phase = 180.0
8.6127 	EXP 	grating_S1_T5: phase = 180.0
8.6280 	EXP 	grating_S1_T5: phase = 180.0
8.6447 	EXP 	grating_S1_T5: phase = 180.0
8.6615 	EXP 	grating_S1_T5: phase = 180.0
8.6780 	EXP 	grating_S1_T5: phase = 180.0
8.6946 	EXP 	grating_S1_T5: phase = 180.0
8.7114 	EXP 	grating_S1_T5: phase = 180.0
8.7278 	EXP 	grating_S1_T5: phase = 180.0
8.7448 	EXP 	grating_S1_T5: phase = 180.0
8.7614 	EXP 	grating_S1_T5: phase = 180.0
8.7782 	EXP 	grating_S1_T5: phase = 180.0
8.7948 	EXP 	grating_S1_T5: phase = 180.0
8.8115 	EXP 	grating_S1_T5: phase = 180.0
8.8284 	EXP 	grating_S1_T5: phase = 180.0
8.8440 	EXP 	grating_S1_T5: phase = 180.0
8.8611 	EXP 	grating_S1_T5: phase = 180.0
8.8774 	EXP 	grating_S1_T5: phase = 180.0
8.8945 	EXP 	grating_S1_T5: phase = 0.0
8.9112 	EXP 	grating_S1_T5: phase = 0.0
8.9302 	EXP 	grating_S1_T5: phase = 0.0
8.9446 	EXP 	grating_S1_T5: phase = 0.0
8.9613 	EXP 	grating_S1_T5: phase = 0.0
8.9782 	EXP 	grating_S1_T5: phase = 0.0
8.9948 	EXP 	grating_S1_T5: phase = 0.0
9.0114 	EXP 	grating_S1_T5: phase = 0.0
9.0281 	EXP 	grating_S1_T5: phase = 0.0
9.0446 	EXP 	grating_S1_T5: phase = 0.0
9.0614 	EXP 	grating_S1_T5: phase = 0.0
9.0780 	EXP 	grating_S1_T5: phase = 0.0
9.0948 	EXP 	grating_S1_T5: phase = 0.0
9.1108 	EXP 	grating_S1_T5: phase = 0.0
9.1281 	EXP 	grating_S1_T5: phase = 0.0
9.1442 	EXP 	grating_S1_T5: phase = 0.0
9.1615 	EXP 	grating_S1_T5: phase = 0.0
9.1780 	EXP 	grating_S1_T5: phase = 0.0
9.1948 	EXP 	grating_S1_T5: phase = 0.0
9.2115 	EXP 	grating_S1_T5: phase = 0.0
9.2280 	EXP 	grating_S1_T5: phase = 0.0
9.2463 	EXP 	grating_S1_T5: phase = 0.0
9.2613 	EXP 	grating_S1_T5: phase = 0.0
9.2777 	EXP 	grating_S1_T5: phase = 0.0
9.2945 	EXP 	grating_S1_T5: phase = 0.0
9.3111 	EXP 	grating_S1_T5: phase = 0.0
9.3278 	EXP 	grating_S1_T5: phase = 0.0
9.3448 	EXP 	grating_S1_T5: phase = 0.0
9.3613 	EXP 	grating_S1_T5: phase = 0.0
9.3780 	EXP 	grating_S1_T5: phase = 0.0
9.3947 	EXP 	grating_S1_T5: phase = 180.0
9.4112 	EXP 	grating_S1_T5: phase = 180.0
9.4281 	EXP 	grating_S1_T5: phase = 180.0
9.4448 	EXP 	grating_S1_T5: phase = 180.0
9.4609 	EXP 	grating_S1_T5: phase = 180.0
9.4779 	EXP 	grating_S1_T5: phase = 180.0
9.4947 	EXP 	grating_S1_T5: phase = 180.0
9.5114 	EXP 	grating_S1_T5: phase = 180.0
9.5281 	EXP 	grating_S1_T5: phase = 180.0
9.5448 	EXP 	grating_S1_T5: phase = 180.0
9.5629 	EXP 	grating_S1_T5: phase = 180.0
