6.9872 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.6936 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12ee4b898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12e9ae5f8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9442 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([7., 7.]), tex='sin', texRes=128, units='deg', win=Window(...))
7.9595 	EXP 	grating_S1_T5: phase = 0.0
7.9768 	EXP 	grating_S1_T5: phase = 0.0
7.9927 	EXP 	grating_S1_T5: phase = 0.0
8.0093 	EXP 	grating_S1_T5: phase = 0.0
8.0260 	EXP 	grating_S1_T5: phase = 0.0
8.0427 	EXP 	grating_S1_T5: phase = 0.0
8.0594 	EXP 	grating_S1_T5: phase = 0.0
8.0762 	EXP 	grating_S1_T5: phase = 0.0
8.0928 	EXP 	grating_S1_T5: phase = 0.0
8.1099 	EXP 	grating_S1_T5: phase = 0.0
8.1265 	EXP 	grating_S1_T5: phase = 0.0
8.1430 	EXP 	grating_S1_T5: phase = 0.0
8.1597 	EXP 	grating_S1_T5: phase = 0.0
8.1763 	EXP 	grating_S1_T5: phase = 0.0
8.1930 	EXP 	grating_S1_T5: phase = 0.0
8.2106 	EXP 	grating_S1_T5: phase = 0.0
8.2264 	EXP 	grating_S1_T5: phase = 0.0
8.2434 	EXP 	grating_S1_T5: phase = 0.0
8.2599 	EXP 	grating_S1_T5: phase = 0.0
8.2766 	EXP 	grating_S1_T5: phase = 0.0
8.2932 	EXP 	grating_S1_T5: phase = 0.0
8.3100 	EXP 	grating_S1_T5: phase = 0.0
8.3266 	EXP 	grating_S1_T5: phase = 0.0
8.3433 	EXP 	grating_S1_T5: phase = 0.0
8.3599 	EXP 	grating_S1_T5: phase = 0.0
8.3766 	EXP 	grating_S1_T5: phase = 0.0
8.3934 	EXP 	grating_S1_T5: phase = 0.0
8.4104 	EXP 	grating_S1_T5: phase = 0.0
8.4262 	EXP 	grating_S1_T5: phase = 0.0
8.4428 	EXP 	grating_S1_T5: phase = 0.0
8.4593 	EXP 	grating_S1_T5: phase = 0.0
8.4760 	EXP 	grating_S1_T5: phase = 0.5
8.4927 	EXP 	grating_S1_T5: phase = 0.5
8.5095 	EXP 	grating_S1_T5: phase = 0.5
8.5275 	EXP 	grating_S1_T5: phase = 0.5
8.5431 	EXP 	grating_S1_T5: phase = 0.5
8.5597 	EXP 	grating_S1_T5: phase = 0.5
8.5764 	EXP 	grating_S1_T5: phase = 0.5
8.5930 	EXP 	grating_S1_T5: phase = 0.5
8.6098 	EXP 	grating_S1_T5: phase = 0.5
8.6265 	EXP 	grating_S1_T5: phase = 0.5
8.6430 	EXP 	grating_S1_T5: phase = 0.5
8.6597 	EXP 	grating_S1_T5: phase = 0.5
8.6764 	EXP 	grating_S1_T5: phase = 0.5
8.6932 	EXP 	grating_S1_T5: phase = 0.5
8.7100 	EXP 	grating_S1_T5: phase = 0.5
8.7269 	EXP 	grating_S1_T5: phase = 0.5
8.7430 	EXP 	grating_S1_T5: phase = 0.5
8.7593 	EXP 	grating_S1_T5: phase = 0.5
8.7769 	EXP 	grating_S1_T5: phase = 0.5
8.7931 	EXP 	grating_S1_T5: phase = 0.5
8.8102 	EXP 	grating_S1_T5: phase = 0.5
8.8261 	EXP 	grating_S1_T5: phase = 0.5
8.8442 	EXP 	grating_S1_T5: phase = 0.5
8.8603 	EXP 	grating_S1_T5: phase = 0.5
8.8760 	EXP 	grating_S1_T5: phase = 0.5
8.8929 	EXP 	grating_S1_T5: phase = 0.5
8.9095 	EXP 	grating_S1_T5: phase = 0.5
8.9264 	EXP 	grating_S1_T5: phase = 0.5
8.9430 	EXP 	grating_S1_T5: phase = 0.5
8.9596 	EXP 	grating_S1_T5: phase = 0.5
8.9763 	EXP 	grating_S1_T5: phase = 0.5
8.9933 	EXP 	grating_S1_T5: phase = 0.5
9.0097 	EXP 	grating_S1_T5: phase = 0.5
9.0266 	EXP 	grating_S1_T5: phase = 0.5
9.0431 	EXP 	grating_S1_T5: phase = 0.5
9.0602 	EXP 	grating_S1_T5: phase = 0.5
9.0915 	EXP 	grating_S1_T5: phase = 0.5
9.1250 	EXP 	grating_S1_T5: phase = 0.5
9.1422 	EXP 	grating_S1_T5: phase = 0.5
9.1605 	EXP 	grating_S1_T5: phase = 0.5
9.1757 	EXP 	grating_S1_T5: phase = 0.5
9.1924 	EXP 	grating_S1_T5: phase = 0.5
9.2091 	EXP 	grating_S1_T5: phase = 0.5
9.2258 	EXP 	grating_S1_T5: phase = 0.5
9.2423 	EXP 	grating_S1_T5: phase = 0.5
9.2591 	EXP 	grating_S1_T5: phase = 0.5
9.2756 	EXP 	grating_S1_T5: phase = 0.5
9.2924 	EXP 	grating_S1_T5: phase = 0.5
9.3093 	EXP 	grating_S1_T5: phase = 0.5
9.3256 	EXP 	grating_S1_T5: phase = 0.5
9.3427 	EXP 	grating_S1_T5: phase = 0.5
9.3591 	EXP 	grating_S1_T5: phase = 0.5
9.3760 	EXP 	grating_S1_T5: phase = 0.5
9.3929 	EXP 	grating_S1_T5: phase = 0.5
9.4094 	EXP 	grating_S1_T5: phase = 0.5
9.4262 	EXP 	grating_S1_T5: phase = 0.5
9.4428 	EXP 	grating_S1_T5: phase = 0.5
9.4597 	EXP 	grating_S1_T5: phase = 0.5
9.4767 	EXP 	grating_S1_T5: phase = 1.0
9.4931 	EXP 	grating_S1_T5: phase = 1.0
9.5101 	EXP 	grating_S1_T5: phase = 1.0
9.5262 	EXP 	grating_S1_T5: phase = 1.0
9.5433 	EXP 	grating_S1_T5: phase = 1.0
9.5602 	EXP 	grating_S1_T5: phase = 1.0
9.5769 	EXP 	grating_S1_T5: phase = 1.0
9.5931 	EXP 	grating_S1_T5: phase = 1.0
9.6101 	EXP 	grating_S1_T5: phase = 1.0
9.6268 	EXP 	grating_S1_T5: phase = 1.0
9.6434 	EXP 	grating_S1_T5: phase = 1.0
9.6602 	EXP 	grating_S1_T5: phase = 1.0
9.6769 	EXP 	grating_S1_T5: phase = 1.0
9.6929 	EXP 	grating_S1_T5: phase = 1.0
9.7102 	EXP 	grating_S1_T5: phase = 1.0
9.7271 	EXP 	grating_S1_T5: phase = 1.0
9.7439 	EXP 	grating_S1_T5: phase = 1.0
9.7603 	EXP 	grating_S1_T5: phase = 1.0
9.7773 	EXP 	grating_S1_T5: phase = 1.0
9.7952 	EXP 	grating_S1_T5: phase = 1.0
9.8103 	EXP 	grating_S1_T5: phase = 1.0
9.8262 	EXP 	grating_S1_T5: phase = 1.0
9.8433 	EXP 	grating_S1_T5: phase = 1.0
9.8597 	EXP 	grating_S1_T5: phase = 1.0
9.8769 	EXP 	grating_S1_T5: phase = 1.0
9.8932 	EXP 	grating_S1_T5: phase = 1.0
9.9104 	EXP 	grating_S1_T5: phase = 1.0
9.9265 	EXP 	grating_S1_T5: phase = 1.0
9.9436 	EXP 	grating_S1_T5: phase = 1.0
9.9600 	EXP 	grating_S1_T5: phase = 1.0
9.9770 	EXP 	grating_S1_T5: phase = 0.0
9.9934 	EXP 	grating_S1_T5: phase = 0.0
10.0105 	EXP 	grating_S1_T5: phase = 0.0
10.0268 	EXP 	grating_S1_T5: phase = 0.0
10.0435 	EXP 	grating_S1_T5: phase = 0.0
10.0602 	EXP 	grating_S1_T5: phase = 0.0
10.0769 	EXP 	grating_S1_T5: phase = 0.0
10.0936 	EXP 	grating_S1_T5: phase = 0.0
10.1115 	EXP 	grating_S1_T5: phase = 0.0
10.1269 	EXP 	grating_S1_T5: phase = 0.0
10.1436 	EXP 	grating_S1_T5: phase = 0.0
10.1605 	EXP 	grating_S1_T5: phase = 0.0
