7.2081 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.9073 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12f614898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f5d55f8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9073 	EXP 	window1: recordFrameIntervals = False
8.0733 	EXP 	window1: recordFrameIntervals = True
8.2568 	EXP 	window1: recordFrameIntervals = False
8.4942 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([3.5, 3.5]), tex='sin', texRes=128, units='deg', win=Window(...))
8.5065 	EXP 	grating_S1_T5: phase = 0
8.5231 	EXP 	grating_S1_T5: phase = 0
8.5398 	EXP 	grating_S1_T5: phase = 0
8.5564 	EXP 	grating_S1_T5: phase = 0
8.5733 	EXP 	grating_S1_T5: phase = 0
8.5899 	EXP 	grating_S1_T5: phase = 0
8.6065 	EXP 	grating_S1_T5: phase = 0
8.6232 	EXP 	grating_S1_T5: phase = 0
8.6396 	EXP 	grating_S1_T5: phase = 0
8.6566 	EXP 	grating_S1_T5: phase = 0
8.6732 	EXP 	grating_S1_T5: phase = 0
8.6899 	EXP 	grating_S1_T5: phase = 0
8.7063 	EXP 	grating_S1_T5: phase = 0
8.7229 	EXP 	grating_S1_T5: phase = 0
8.7394 	EXP 	grating_S1_T5: phase = 0
8.7565 	EXP 	grating_S1_T5: phase = 0
8.7740 	EXP 	grating_S1_T5: phase = 0
8.7898 	EXP 	grating_S1_T5: phase = 0
8.8065 	EXP 	grating_S1_T5: phase = 0
8.8236 	EXP 	grating_S1_T5: phase = 0
8.8398 	EXP 	grating_S1_T5: phase = 0
8.8563 	EXP 	grating_S1_T5: phase = 0
8.8731 	EXP 	grating_S1_T5: phase = 0
8.8892 	EXP 	grating_S1_T5: phase = 0
8.9064 	EXP 	grating_S1_T5: phase = 0
8.9230 	EXP 	grating_S1_T5: phase = 0
8.9397 	EXP 	grating_S1_T5: phase = 0
8.9561 	EXP 	grating_S1_T5: phase = 0
8.9732 	EXP 	grating_S1_T5: phase = 0
8.9902 	EXP 	grating_S1_T5: phase = 0
9.0065 	EXP 	grating_S1_T5: phase = 0
9.0229 	EXP 	grating_S1_T5: phase = 0
9.0399 	EXP 	grating_S1_T5: phase = 0
9.0565 	EXP 	grating_S1_T5: phase = 0
9.0726 	EXP 	grating_S1_T5: phase = 0
9.0905 	EXP 	grating_S1_T5: phase = 0
9.1062 	EXP 	grating_S1_T5: phase = 0
9.1227 	EXP 	grating_S1_T5: phase = 0
9.1393 	EXP 	grating_S1_T5: phase = 0
9.1565 	EXP 	grating_S1_T5: phase = 0
9.1729 	EXP 	grating_S1_T5: phase = 0
9.1895 	EXP 	grating_S1_T5: phase = 0
9.2068 	EXP 	grating_S1_T5: phase = 0
9.2231 	EXP 	grating_S1_T5: phase = 0
9.2396 	EXP 	grating_S1_T5: phase = 0
9.2561 	EXP 	grating_S1_T5: phase = 0
9.2732 	EXP 	grating_S1_T5: phase = 0
9.2898 	EXP 	grating_S1_T5: phase = 0
9.3067 	EXP 	grating_S1_T5: phase = 0
9.3232 	EXP 	grating_S1_T5: phase = 0
9.3397 	EXP 	grating_S1_T5: phase = 0
9.3559 	EXP 	grating_S1_T5: phase = 0
9.3731 	EXP 	grating_S1_T5: phase = 0
9.3898 	EXP 	grating_S1_T5: phase = 0
9.4072 	EXP 	grating_S1_T5: phase = 0
9.4236 	EXP 	grating_S1_T5: phase = 0
9.4398 	EXP 	grating_S1_T5: phase = 0
9.4568 	EXP 	grating_S1_T5: phase = 0
9.4732 	EXP 	grating_S1_T5: phase = 0
9.4894 	EXP 	grating_S1_T5: phase = 0
9.5059 	EXP 	grating_S1_T5: phase = 0
9.5233 	EXP 	grating_S1_T5: phase = 0
9.5398 	EXP 	grating_S1_T5: phase = 0
9.5561 	EXP 	grating_S1_T5: phase = 0
9.5726 	EXP 	grating_S1_T5: phase = 0
9.5896 	EXP 	grating_S1_T5: phase = 0
9.6061 	EXP 	grating_S1_T5: phase = 0
9.6229 	EXP 	grating_S1_T5: phase = 0
9.6395 	EXP 	grating_S1_T5: phase = 0
9.6560 	EXP 	grating_S1_T5: phase = 0
9.6732 	EXP 	grating_S1_T5: phase = 0
9.6897 	EXP 	grating_S1_T5: phase = 0
9.7062 	EXP 	grating_S1_T5: phase = 0
9.7234 	EXP 	grating_S1_T5: phase = 0
9.7399 	EXP 	grating_S1_T5: phase = 0
9.7564 	EXP 	grating_S1_T5: phase = 0
9.7735 	EXP 	grating_S1_T5: phase = 0
9.7899 	EXP 	grating_S1_T5: phase = 0
9.8066 	EXP 	grating_S1_T5: phase = 0
9.8225 	EXP 	grating_S1_T5: phase = 0
9.8398 	EXP 	grating_S1_T5: phase = 0
9.8559 	EXP 	grating_S1_T5: phase = 0
9.8737 	EXP 	grating_S1_T5: phase = 0
9.8893 	EXP 	grating_S1_T5: phase = 0
9.9069 	EXP 	grating_S1_T5: phase = 0
9.9231 	EXP 	grating_S1_T5: phase = 0
9.9396 	EXP 	grating_S1_T5: phase = 0
9.9568 	EXP 	grating_S1_T5: phase = 0
9.9728 	EXP 	grating_S1_T5: phase = 0
9.9892 	EXP 	grating_S1_T5: phase = 0
10.0062 	EXP 	grating_S1_T5: phase = 0
10.0227 	EXP 	grating_S1_T5: phase = 0
10.0396 	EXP 	grating_S1_T5: phase = 0
10.0562 	EXP 	grating_S1_T5: phase = 0
10.0729 	EXP 	grating_S1_T5: phase = 0
10.0898 	EXP 	grating_S1_T5: phase = 0
10.1063 	EXP 	grating_S1_T5: phase = 0
10.1232 	EXP 	grating_S1_T5: phase = 0
10.1398 	EXP 	grating_S1_T5: phase = 0
10.1565 	EXP 	grating_S1_T5: phase = 0
10.1736 	EXP 	grating_S1_T5: phase = 0
10.1900 	EXP 	grating_S1_T5: phase = 0
