6.5761 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.3003 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12af24898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f624a90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.5315 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([7., 7.]), tex='sin', texRes=128, units='deg', win=Window(...))
7.5494 	EXP 	grating_S1_T5: phase = 0.0
7.5669 	EXP 	grating_S1_T5: phase = 0.0
7.5836 	EXP 	grating_S1_T5: phase = 0.0
7.5997 	EXP 	grating_S1_T5: phase = 0.0
7.6167 	EXP 	grating_S1_T5: phase = 0.0
7.6333 	EXP 	grating_S1_T5: phase = 0.0
7.6501 	EXP 	grating_S1_T5: phase = 0.0
7.6666 	EXP 	grating_S1_T5: phase = 0.0
7.6833 	EXP 	grating_S1_T5: phase = 0.0
7.6998 	EXP 	grating_S1_T5: phase = 0.0
7.7167 	EXP 	grating_S1_T5: phase = 0.0
7.7333 	EXP 	grating_S1_T5: phase = 0.0
7.7501 	EXP 	grating_S1_T5: phase = 0.0
7.7666 	EXP 	grating_S1_T5: phase = 0.0
7.7834 	EXP 	grating_S1_T5: phase = 0.0
7.8011 	EXP 	grating_S1_T5: phase = 0.0
7.8167 	EXP 	grating_S1_T5: phase = 0.0
7.8334 	EXP 	grating_S1_T5: phase = 0.0
7.8500 	EXP 	grating_S1_T5: phase = 0.0
7.8667 	EXP 	grating_S1_T5: phase = 0.0
