6.8311 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.5663 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12ae84898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f7f7a90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.8075 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([7., 7.]), tex='sin', texRes=128, units='deg', win=Window(...))
7.8194 	EXP 	grating_S1_T5: phase = 0.0
7.8320 	EXP 	grating_S1_T5: phase = 0.0
7.8489 	EXP 	grating_S1_T5: phase = 0.0
7.8639 	EXP 	grating_S1_T5: phase = 0.0
7.8811 	EXP 	grating_S1_T5: phase = 0.0
7.8981 	EXP 	grating_S1_T5: phase = 0.0
7.9148 	EXP 	grating_S1_T5: phase = 0.0
7.9320 	EXP 	grating_S1_T5: phase = 0.0
7.9479 	EXP 	grating_S1_T5: phase = 0.0
7.9648 	EXP 	grating_S1_T5: phase = 0.0
7.9820 	EXP 	grating_S1_T5: phase = 0.0
7.9986 	EXP 	grating_S1_T5: phase = 0.0
8.0153 	EXP 	grating_S1_T5: phase = 0.0
8.0320 	EXP 	grating_S1_T5: phase = 0.0
8.0497 	EXP 	grating_S1_T5: phase = 0.0
8.0652 	EXP 	grating_S1_T5: phase = 0.0
8.0820 	EXP 	grating_S1_T5: phase = 0.0
8.0987 	EXP 	grating_S1_T5: phase = 0.0
8.1154 	EXP 	grating_S1_T5: phase = 0.0
8.1321 	EXP 	grating_S1_T5: phase = 0.0
8.1487 	EXP 	grating_S1_T5: phase = 0.0
8.1654 	EXP 	grating_S1_T5: phase = 0.0
8.1821 	EXP 	grating_S1_T5: phase = 0.0
8.1987 	EXP 	grating_S1_T5: phase = 0.0
8.2154 	EXP 	grating_S1_T5: phase = 0.0
8.2321 	EXP 	grating_S1_T5: phase = 0.0
8.2487 	EXP 	grating_S1_T5: phase = 0.0
8.2656 	EXP 	grating_S1_T5: phase = 0.0
8.2820 	EXP 	grating_S1_T5: phase = 0.0
8.2987 	EXP 	grating_S1_T5: phase = 0.0
8.3154 	EXP 	grating_S1_T5: phase = 0.0
8.3320 	EXP 	grating_S1_T5: phase = 1.0
8.3488 	EXP 	grating_S1_T5: phase = 1.0
8.3669 	EXP 	grating_S1_T5: phase = 1.0
8.3825 	EXP 	grating_S1_T5: phase = 1.0
8.3991 	EXP 	grating_S1_T5: phase = 1.0
8.4158 	EXP 	grating_S1_T5: phase = 1.0
8.4323 	EXP 	grating_S1_T5: phase = 1.0
8.4490 	EXP 	grating_S1_T5: phase = 1.0
8.4655 	EXP 	grating_S1_T5: phase = 1.0
8.4818 	EXP 	grating_S1_T5: phase = 1.0
8.4987 	EXP 	grating_S1_T5: phase = 1.0
8.5154 	EXP 	grating_S1_T5: phase = 1.0
8.5321 	EXP 	grating_S1_T5: phase = 1.0
8.5487 	EXP 	grating_S1_T5: phase = 1.0
8.5648 	EXP 	grating_S1_T5: phase = 1.0
8.5814 	EXP 	grating_S1_T5: phase = 1.0
8.5991 	EXP 	grating_S1_T5: phase = 1.0
8.6156 	EXP 	grating_S1_T5: phase = 1.0
8.6318 	EXP 	grating_S1_T5: phase = 1.0
8.6486 	EXP 	grating_S1_T5: phase = 1.0
8.6655 	EXP 	grating_S1_T5: phase = 1.0
8.6833 	EXP 	grating_S1_T5: phase = 1.0
8.6988 	EXP 	grating_S1_T5: phase = 1.0
8.7154 	EXP 	grating_S1_T5: phase = 1.0
8.7321 	EXP 	grating_S1_T5: phase = 1.0
8.7488 	EXP 	grating_S1_T5: phase = 1.0
8.7655 	EXP 	grating_S1_T5: phase = 1.0
8.7821 	EXP 	grating_S1_T5: phase = 1.0
8.7983 	EXP 	grating_S1_T5: phase = 1.0
8.8153 	EXP 	grating_S1_T5: phase = 1.0
8.8323 	EXP 	grating_S1_T5: phase = 0.0
8.8479 	EXP 	grating_S1_T5: phase = 0.0
8.8647 	EXP 	grating_S1_T5: phase = 0.0
8.8817 	EXP 	grating_S1_T5: phase = 0.0
8.8986 	EXP 	grating_S1_T5: phase = 0.0
8.9154 	EXP 	grating_S1_T5: phase = 0.0
8.9320 	EXP 	grating_S1_T5: phase = 0.0
8.9487 	EXP 	grating_S1_T5: phase = 0.0
8.9653 	EXP 	grating_S1_T5: phase = 0.0
8.9821 	EXP 	grating_S1_T5: phase = 0.0
8.9999 	EXP 	grating_S1_T5: phase = 0.0
9.0155 	EXP 	grating_S1_T5: phase = 0.0
9.0321 	EXP 	grating_S1_T5: phase = 0.0
9.0487 	EXP 	grating_S1_T5: phase = 0.0
9.0653 	EXP 	grating_S1_T5: phase = 0.0
9.0820 	EXP 	grating_S1_T5: phase = 0.0
9.0986 	EXP 	grating_S1_T5: phase = 0.0
9.1155 	EXP 	grating_S1_T5: phase = 0.0
9.1320 	EXP 	grating_S1_T5: phase = 0.0
9.1486 	EXP 	grating_S1_T5: phase = 0.0
9.1647 	EXP 	grating_S1_T5: phase = 0.0
9.1819 	EXP 	grating_S1_T5: phase = 0.0
9.1987 	EXP 	grating_S1_T5: phase = 0.0
9.2145 	EXP 	grating_S1_T5: phase = 0.0
9.2322 	EXP 	grating_S1_T5: phase = 0.0
9.2489 	EXP 	grating_S1_T5: phase = 0.0
9.2647 	EXP 	grating_S1_T5: phase = 0.0
9.2820 	EXP 	grating_S1_T5: phase = 0.0
9.2987 	EXP 	grating_S1_T5: phase = 0.0
9.3170 	EXP 	grating_S1_T5: phase = 0.0
9.3320 	EXP 	grating_S1_T5: phase = 1.0
9.3486 	EXP 	grating_S1_T5: phase = 1.0
9.3648 	EXP 	grating_S1_T5: phase = 1.0
9.3818 	EXP 	grating_S1_T5: phase = 1.0
