6.8649 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.5915 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12ae1a898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12fb305f8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.8246 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([7., 7.]), tex='sin', texRes=128, units='deg', win=Window(...))
7.8366 	EXP 	grating_S1_T5: phase = 0.0
7.8531 	EXP 	grating_S1_T5: phase = 0.0
7.8698 	EXP 	grating_S1_T5: phase = 0.0
7.8866 	EXP 	grating_S1_T5: phase = 0.0
7.9033 	EXP 	grating_S1_T5: phase = 0.0
7.9200 	EXP 	grating_S1_T5: phase = 0.0
7.9368 	EXP 	grating_S1_T5: phase = 0.0
7.9533 	EXP 	grating_S1_T5: phase = 0.0
7.9702 	EXP 	grating_S1_T5: phase = 0.0
7.9868 	EXP 	grating_S1_T5: phase = 0.0
8.0036 	EXP 	grating_S1_T5: phase = 0.0
8.0202 	EXP 	grating_S1_T5: phase = 0.0
8.0370 	EXP 	grating_S1_T5: phase = 0.0
8.0547 	EXP 	grating_S1_T5: phase = 0.0
8.0704 	EXP 	grating_S1_T5: phase = 0.0
8.0870 	EXP 	grating_S1_T5: phase = 0.0
8.1037 	EXP 	grating_S1_T5: phase = 1.0
8.1205 	EXP 	grating_S1_T5: phase = 1.0
8.1371 	EXP 	grating_S1_T5: phase = 1.0
8.1539 	EXP 	grating_S1_T5: phase = 1.0
8.1707 	EXP 	grating_S1_T5: phase = 1.0
8.1873 	EXP 	grating_S1_T5: phase = 1.0
8.2040 	EXP 	grating_S1_T5: phase = 1.0
8.2208 	EXP 	grating_S1_T5: phase = 1.0
8.2409 	EXP 	grating_S1_T5: phase = 1.0
8.2576 	EXP 	grating_S1_T5: phase = 1.0
8.2744 	EXP 	grating_S1_T5: phase = 1.0
8.2909 	EXP 	grating_S1_T5: phase = 1.0
8.3074 	EXP 	grating_S1_T5: phase = 1.0
8.3243 	EXP 	grating_S1_T5: phase = 1.0
8.3409 	EXP 	grating_S1_T5: phase = 0.0
8.3575 	EXP 	grating_S1_T5: phase = 0.0
8.3750 	EXP 	grating_S1_T5: phase = 0.0
8.3913 	EXP 	grating_S1_T5: phase = 0.0
8.4079 	EXP 	grating_S1_T5: phase = 0.0
8.4246 	EXP 	grating_S1_T5: phase = 0.0
8.4413 	EXP 	grating_S1_T5: phase = 0.0
8.4580 	EXP 	grating_S1_T5: phase = 0.0
8.4758 	EXP 	grating_S1_T5: phase = 0.0
8.4912 	EXP 	grating_S1_T5: phase = 0.0
8.5083 	EXP 	grating_S1_T5: phase = 0.0
8.5250 	EXP 	grating_S1_T5: phase = 0.0
8.5416 	EXP 	grating_S1_T5: phase = 0.0
8.5580 	EXP 	grating_S1_T5: phase = 0.0
8.5740 	EXP 	grating_S1_T5: phase = 0.0
8.5912 	EXP 	grating_S1_T5: phase = 0.0
8.6077 	EXP 	grating_S1_T5: phase = 1.0
8.6246 	EXP 	grating_S1_T5: phase = 1.0
8.6416 	EXP 	grating_S1_T5: phase = 1.0
8.6579 	EXP 	grating_S1_T5: phase = 1.0
8.6743 	EXP 	grating_S1_T5: phase = 1.0
8.6912 	EXP 	grating_S1_T5: phase = 1.0
8.7077 	EXP 	grating_S1_T5: phase = 1.0
8.7243 	EXP 	grating_S1_T5: phase = 1.0
8.7416 	EXP 	grating_S1_T5: phase = 1.0
8.7578 	EXP 	grating_S1_T5: phase = 1.0
8.7747 	EXP 	grating_S1_T5: phase = 1.0
8.7912 	EXP 	grating_S1_T5: phase = 1.0
8.8079 	EXP 	grating_S1_T5: phase = 1.0
8.8244 	EXP 	grating_S1_T5: phase = 1.0
8.8415 	EXP 	grating_S1_T5: phase = 0.0
8.8580 	EXP 	grating_S1_T5: phase = 0.0
8.8747 	EXP 	grating_S1_T5: phase = 0.0
8.8914 	EXP 	grating_S1_T5: phase = 0.0
8.9083 	EXP 	grating_S1_T5: phase = 0.0
8.9251 	EXP 	grating_S1_T5: phase = 0.0
8.9416 	EXP 	grating_S1_T5: phase = 0.0
8.9580 	EXP 	grating_S1_T5: phase = 0.0
8.9740 	EXP 	grating_S1_T5: phase = 0.0
8.9906 	EXP 	grating_S1_T5: phase = 0.0
9.0078 	EXP 	grating_S1_T5: phase = 0.0
9.0242 	EXP 	grating_S1_T5: phase = 0.0
9.0408 	EXP 	grating_S1_T5: phase = 0.0
9.0574 	EXP 	grating_S1_T5: phase = 0.0
9.0743 	EXP 	grating_S1_T5: phase = 0.0
9.0909 	EXP 	grating_S1_T5: phase = 1.0
9.1087 	EXP 	grating_S1_T5: phase = 1.0
9.1243 	EXP 	grating_S1_T5: phase = 1.0
9.1412 	EXP 	grating_S1_T5: phase = 1.0
9.1578 	EXP 	grating_S1_T5: phase = 1.0
9.1745 	EXP 	grating_S1_T5: phase = 1.0
9.1912 	EXP 	grating_S1_T5: phase = 1.0
9.2079 	EXP 	grating_S1_T5: phase = 1.0
9.2237 	EXP 	grating_S1_T5: phase = 1.0
9.2402 	EXP 	grating_S1_T5: phase = 1.0
9.2568 	EXP 	grating_S1_T5: phase = 1.0
9.2735 	EXP 	grating_S1_T5: phase = 1.0
9.2904 	EXP 	grating_S1_T5: phase = 1.0
9.3070 	EXP 	grating_S1_T5: phase = 1.0
9.3236 	EXP 	grating_S1_T5: phase = 1.0
9.3403 	EXP 	grating_S1_T5: phase = 1.0
9.3572 	EXP 	grating_S1_T5: phase = 0.0
9.3737 	EXP 	grating_S1_T5: phase = 0.0
9.3906 	EXP 	grating_S1_T5: phase = 0.0
9.4072 	EXP 	grating_S1_T5: phase = 0.0
9.4260 	EXP 	grating_S1_T5: phase = 0.0
9.4407 	EXP 	grating_S1_T5: phase = 0.0
9.4573 	EXP 	grating_S1_T5: phase = 0.0
9.4741 	EXP 	grating_S1_T5: phase = 0.0
9.4908 	EXP 	grating_S1_T5: phase = 0.0
9.5073 	EXP 	grating_S1_T5: phase = 0.0
9.5243 	EXP 	grating_S1_T5: phase = 0.0
9.5409 	EXP 	grating_S1_T5: phase = 0.0
9.5577 	EXP 	grating_S1_T5: phase = 0.0
9.5743 	EXP 	grating_S1_T5: phase = 0.0
9.5912 	EXP 	grating_S1_T5: phase = 1.0
9.6078 	EXP 	grating_S1_T5: phase = 1.0
9.6245 	EXP 	grating_S1_T5: phase = 1.0
9.6413 	EXP 	grating_S1_T5: phase = 1.0
9.6581 	EXP 	grating_S1_T5: phase = 1.0
9.6748 	EXP 	grating_S1_T5: phase = 1.0
9.6916 	EXP 	grating_S1_T5: phase = 1.0
9.7082 	EXP 	grating_S1_T5: phase = 1.0
9.7249 	EXP 	grating_S1_T5: phase = 1.0
9.7416 	EXP 	grating_S1_T5: phase = 1.0
9.7582 	EXP 	grating_S1_T5: phase = 1.0
9.7624 	DATA 	Keypress: escape
10.0483 	EXP 	window1: mouseVisible = True
