6.9989 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.7327 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12e82d898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f411a90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9669 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([7., 7.]), tex='sin', texRes=128, units='deg', win=Window(...))
7.9813 	EXP 	grating_S1_T5: phase = 0.0
7.9982 	EXP 	grating_S1_T5: phase = 0.0
8.0147 	EXP 	grating_S1_T5: phase = 0.0
8.0319 	EXP 	grating_S1_T5: phase = 0.0
8.0485 	EXP 	grating_S1_T5: phase = 0.0
8.0654 	EXP 	grating_S1_T5: phase = 0.0
8.0819 	EXP 	grating_S1_T5: phase = 0.0
8.0986 	EXP 	grating_S1_T5: phase = 0.0
8.1152 	EXP 	grating_S1_T5: phase = 0.0
8.1319 	EXP 	grating_S1_T5: phase = 0.0
8.1486 	EXP 	grating_S1_T5: phase = 0.0
8.1654 	EXP 	grating_S1_T5: phase = 0.0
8.1829 	EXP 	grating_S1_T5: phase = 0.0
8.1981 	EXP 	grating_S1_T5: phase = 0.0
8.2153 	EXP 	grating_S1_T5: phase = 0.0
8.2320 	EXP 	grating_S1_T5: phase = 0.0
8.2480 	EXP 	grating_S1_T5: phase = 0.0
8.2654 	EXP 	grating_S1_T5: phase = 0.0
8.2824 	EXP 	grating_S1_T5: phase = 0.0
8.2988 	EXP 	grating_S1_T5: phase = 0.0
8.3150 	EXP 	grating_S1_T5: phase = 0.0
8.3319 	EXP 	grating_S1_T5: phase = 0.0
8.3485 	EXP 	grating_S1_T5: phase = 0.0
8.3652 	EXP 	grating_S1_T5: phase = 0.0
8.3820 	EXP 	grating_S1_T5: phase = 0.0
